window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.013944670106692435,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0000.npz
1,no_chatter,False,0.026111002010703842,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0001.npz
2,no_chatter,False,0.04112280640602895,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0002.npz
3,no_chatter,False,0.046600917260594364,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0003.npz
4,no_chatter,False,0.04329751455890216,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0004.npz
5,no_chatter,False,0.03902034420803601,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0005.npz
6,no_chatter,False,0.03290425142651714,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0006.npz
7,no_chatter,False,0.03307142724758277,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0007.npz
8,no_chatter,False,0.03345380337679672,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0008.npz
9,no_chatter,False,0.04006126220373422,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0009.npz
10,no_chatter,False,0.051418925382526876,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0010.npz
11,no_chatter,False,0.04028243532181325,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p045\F_08-Jun-2017_rpm320_doc0p045_window_0011.npz
