window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.013391927900753609,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0000.npz
1,no_chatter,False,0.013203317385642455,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0001.npz
2,no_chatter,False,0.027197275349808994,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0002.npz
3,no_chatter,False,0.032533115586730096,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0003.npz
4,no_chatter,False,0.03299219416440327,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0004.npz
5,no_chatter,False,0.03840903063877196,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0005.npz
6,no_chatter,False,0.04168854772108708,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0006.npz
7,no_chatter,False,0.03481872568521024,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0007.npz
8,no_chatter,False,0.03578716720618825,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0008.npz
9,no_chatter,False,0.033628249759222135,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0009.npz
10,no_chatter,False,0.03254504937552582,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0010.npz
11,no_chatter,False,0.03619756204719515,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p035\F_08-Jun-2017_rpm320_doc0p035_window_0011.npz
