window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.011770279168463516,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0000.npz
1,no_chatter,False,0.020528724590869407,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0001.npz
2,no_chatter,False,0.03107097637527994,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0002.npz
3,no_chatter,False,0.032917287608074046,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0003.npz
4,no_chatter,False,0.03292946425464838,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0004.npz
5,no_chatter,False,0.03388837297686508,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0005.npz
6,no_chatter,False,0.04342310245823163,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0006.npz
7,no_chatter,False,0.0679488458437856,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0007.npz
8,no_chatter,False,0.046178650995651827,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0008.npz
9,no_chatter,False,0.04384079019845456,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0009.npz
10,no_chatter,False,0.03900330008060279,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0010.npz
11,no_chatter,False,0.0397519558793523,..\data\01_windowed_labeled\2inchStickout\F_08-Jun-2017_rpm320_doc0p025\F_08-Jun-2017_rpm320_doc0p025_window_0011.npz
