dataset,method,sample_id,split,label,target,score_value
broach_dataset,one_class_svm_image_features,00yac9b6,validation,normal,0,5.146957349869856
broach_dataset,one_class_svm_image_features,01ecfho9,validation,normal,0,-1.121096539092493
broach_dataset,one_class_svm_image_features,01rpdbjb,validation,normal,0,-0.579095998207217
broach_dataset,one_class_svm_image_features,01ywejtw,validation,normal,0,-3.7924435532404903
broach_dataset,one_class_svm_image_features,02hhnnq8,validation,normal,0,-2.750502674516584
broach_dataset,one_class_svm_image_features,02i89bne,validation,normal,0,15.111800141465704
broach_dataset,one_class_svm_image_features,02smpd9t,validation,normal,0,-3.4925082838168695
broach_dataset,one_class_svm_image_features,030bxhe3,validation,normal,0,-4.040083213521504
broach_dataset,one_class_svm_image_features,030jl4tn,validation,normal,0,-3.48515684654007
broach_dataset,one_class_svm_image_features,03dcuvaj,validation,normal,0,-3.016825815183841
broach_dataset,one_class_svm_image_features,051qepd1,validation,normal,0,-1.5886363874712028
broach_dataset,one_class_svm_image_features,05520eak,validation,normal,0,-4.565511819404163
broach_dataset,one_class_svm_image_features,05nxu89x,validation,normal,0,-1.7113245331152758
broach_dataset,one_class_svm_image_features,065x3drt,validation,normal,0,-2.8301227375036344
broach_dataset,one_class_svm_image_features,06sbov0j,validation,normal,0,-3.6887271588405337
broach_dataset,one_class_svm_image_features,07hpnpk2,validation,normal,0,-4.379297269332648
broach_dataset,one_class_svm_image_features,082xr8z7,validation,normal,0,-3.7506978116866723
broach_dataset,one_class_svm_image_features,08fmld08,validation,normal,0,1.9787957016412197
broach_dataset,one_class_svm_image_features,08kht9gr,validation,normal,0,-4.29565461411975
broach_dataset,one_class_svm_image_features,096r9cs6,validation,normal,0,-2.861274489734855
broach_dataset,one_class_svm_image_features,09tyaw7d,validation,normal,0,0.7302933806034932
broach_dataset,one_class_svm_image_features,0a690q5n,validation,normal,0,-2.1968028633722323
broach_dataset,one_class_svm_image_features,0at3z4mg,validation,normal,0,-1.3513620154476609
broach_dataset,one_class_svm_image_features,0bmbaoqr,validation,normal,0,0.8266787030552418
broach_dataset,one_class_svm_image_features,0d1bnyg4,validation,normal,0,-2.3651587113706025
broach_dataset,one_class_svm_image_features,0f3eheut,validation,normal,0,-0.04046775208009734
broach_dataset,one_class_svm_image_features,0gd5n0gu,validation,normal,0,-1.2804132617964452
broach_dataset,one_class_svm_image_features,0gdjlf3a,validation,normal,0,-3.8376978976890275
broach_dataset,one_class_svm_image_features,0h8kw3fm,validation,normal,0,-2.302161285014785
broach_dataset,one_class_svm_image_features,0hizo25m,validation,normal,0,0.8518887460687239
broach_dataset,one_class_svm_image_features,0i2ldsyj,validation,normal,0,-2.7442491290065956
broach_dataset,one_class_svm_image_features,0i3rc5vr,validation,normal,0,-3.5506540444222754
broach_dataset,one_class_svm_image_features,0ilfbaup,validation,normal,0,-2.1892933839060955
broach_dataset,one_class_svm_image_features,0ion3xjr,validation,normal,0,-2.801098760440757
broach_dataset,one_class_svm_image_features,0j1oulwo,validation,normal,0,-3.596197493722192
broach_dataset,one_class_svm_image_features,0jq84q8x,validation,normal,0,-1.3052737858655856
broach_dataset,one_class_svm_image_features,0jy67u6o,validation,normal,0,-2.936314851336517
broach_dataset,one_class_svm_image_features,0k5fc34s,validation,normal,0,-0.6205893000017273
broach_dataset,one_class_svm_image_features,0k81ivzj,validation,normal,0,-2.4682002681386432
broach_dataset,one_class_svm_image_features,0kbc69ps,validation,normal,0,-5.019489791604505
broach_dataset,one_class_svm_image_features,0l1offkh,validation,normal,0,-0.4776393938453918
broach_dataset,one_class_svm_image_features,0lsn6mhl,validation,normal,0,-2.2070485793343675
broach_dataset,one_class_svm_image_features,0mjaiq5s,validation,normal,0,-4.690438646027689
broach_dataset,one_class_svm_image_features,0n3yjvug,validation,normal,0,-3.1545404910261805
broach_dataset,one_class_svm_image_features,0n938tfs,validation,normal,0,-1.945522475496558
broach_dataset,one_class_svm_image_features,0nfjmxrb,validation,normal,0,-0.7048843545360395
broach_dataset,one_class_svm_image_features,0noq91ui,validation,normal,0,-1.3630503306301147
broach_dataset,one_class_svm_image_features,0okk0ojb,validation,normal,0,-1.866200853384262
broach_dataset,one_class_svm_image_features,0osoh5v6,validation,normal,0,-0.24949068974148148
broach_dataset,one_class_svm_image_features,0pjjhb0n,validation,normal,0,-3.7880683782652813
broach_dataset,one_class_svm_image_features,0pxyy9e5,validation,normal,0,-4.442572413477341
broach_dataset,one_class_svm_image_features,0qf1klgp,validation,normal,0,-2.1634838375698404
broach_dataset,one_class_svm_image_features,0r8qjppg,validation,normal,0,-4.158412360384171
broach_dataset,one_class_svm_image_features,0rktoc19,validation,normal,0,0.9177377769780275
broach_dataset,one_class_svm_image_features,0sav2p7b,validation,normal,0,-3.212604430628412
broach_dataset,one_class_svm_image_features,0t9nlahn,validation,normal,0,-1.2992026197451292
broach_dataset,one_class_svm_image_features,0tcve8xw,validation,normal,0,14.328937551352723
broach_dataset,one_class_svm_image_features,0twb0vaj,validation,normal,0,-4.678233112062701
broach_dataset,one_class_svm_image_features,0twzyat0,validation,normal,0,-3.7356538460820747
broach_dataset,one_class_svm_image_features,0u8q7a4v,validation,normal,0,-0.9260118809440794
broach_dataset,one_class_svm_image_features,0ug12iau,validation,normal,0,-0.4508636310328331
broach_dataset,one_class_svm_image_features,0uszskzk,validation,normal,0,2.089749936091007
broach_dataset,one_class_svm_image_features,0w7d53o9,validation,normal,0,-4.610634396269882
broach_dataset,one_class_svm_image_features,0wr0mirn,validation,normal,0,-0.3386689053004801
broach_dataset,one_class_svm_image_features,0xqtqv8e,validation,normal,0,9.71664519885795
broach_dataset,one_class_svm_image_features,0yyqwimh,validation,normal,0,-0.5568314029854147
broach_dataset,one_class_svm_image_features,1029dg38,validation,normal,0,-2.319599744017067
broach_dataset,one_class_svm_image_features,107jqnyv,validation,normal,0,-2.232684598193069
broach_dataset,one_class_svm_image_features,10dhhh4m,validation,normal,0,-4.296252466831314
broach_dataset,one_class_svm_image_features,10etl7hw,validation,normal,0,-3.510150515412887
broach_dataset,one_class_svm_image_features,10g567aq,validation,normal,0,-4.482395577287017
broach_dataset,one_class_svm_image_features,10q6fce1,validation,normal,0,1.993640955874481
