window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.2644408724774818,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0000.npz
1,chatter,True,0.5751317828566321,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0001.npz
2,chatter,True,0.5791193162443172,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0002.npz
3,chatter,True,0.570183198992852,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0003.npz
4,chatter,True,0.6048191840963361,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0004.npz
5,chatter,True,0.730308178297325,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0005.npz
6,chatter,True,0.4941870045243843,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0006.npz
7,no_chatter,False,0.1377415000980113,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0007.npz
8,no_chatter,False,0.015293718841953331,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0008.npz
9,no_chatter,False,0.011325929845946135,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0009.npz
10,no_chatter,False,0.011030082104610766,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0010.npz
11,no_chatter,False,0.010790145014633674,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0011.npz
