window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.012759045862434138,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0000.npz
1,no_chatter,False,0.01933359778373272,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0001.npz
2,no_chatter,False,0.029878650585531484,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0002.npz
3,no_chatter,False,0.03484605372017594,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0003.npz
4,no_chatter,False,0.03491224135143878,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0004.npz
5,no_chatter,False,0.03530399696540618,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0005.npz
6,no_chatter,False,0.03374589793807956,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0006.npz
7,no_chatter,False,0.046903590465209345,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0007.npz
8,no_chatter,False,0.04545969587212988,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0008.npz
9,no_chatter,False,0.05549404400037223,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0009.npz
10,no_chatter,False,0.06916465542715108,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0010.npz
11,no_chatter,False,0.09143427825743383,..\data\01_windowed_labeled_V3\2inchStickout\F_08-Jun-2017_rpm320_doc0p030\F_08-Jun-2017_rpm320_doc0p030_window_0011.npz
